@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/AN-1937418-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-07-06T10:38:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,,88.8,,%,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1937418-9856,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-07-06T10:38:00,OrthophsFilt,"Orthophosphate, Filtered as P",9856,,0.026000000000000002,,mg/l,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1937418-4865,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-07-06T10:38:00,Vol Filtered,Volume of Sample Filtered,4865,,1000.0,,ml,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1937418-9853,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-07-06T10:38:00,Nitrate Filt,"Nitrate, Filtered as N",9853,,0.0298,,mg/l,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1937418-9943,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-07-06T10:38:00,N Oxid Filt,"Nitrogen, Total Oxidised, Filtered as N",9943,,0.035,,mg/l,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1937418-6485,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-07-06T10:38:00,Nitrite Filt,"Nitrite, Filtered as N",6485,,0.0052,,mg/l,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1937418-9857,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-07-06T10:38:00,SiO2 Filt,"Silicate, Filtered as SiO2",9857,,0.2,,mg/l,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1937418-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-07-06T10:38:00,Oxygen Diss,"Oxygen, Dissolved as O2",9924,,6.53,,mg/l,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1937418-6020,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-07-06T10:38:00,NGR Northing,NGR : Northing,6020,,210980.0,,ngr,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-6019,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,NGR Easting,NGR : Easting,6019,,603996.0,,ngr,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-4574,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,Phytoplankto,Phytoplankton,4574,,1.0,,coded,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-7342,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,HTrlTW,Time of sampling relative to previous high water,7342,,8.18,,hh.mm,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-3428,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,Water Depth,Water Depth,3428,,7.55,,m,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,Oxygen Diss,"Oxygen, Dissolved as O2",9924,,7.11,,mg/l,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,Temp Water,Temperature of Water,76,,20.4,,cel,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-9943,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,N Oxid Filt,"Nitrogen, Total Oxidised, Filtered as N",9943,,0.099,,mg/l,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
